4 10912
3 21378
-5 27773
-6 8645
-1 19288
-1 946
-8 11818
8 3401
-9 14412
-9 19909
6 26048
0 29713
2 17841
-2 12295
5 26233
9 26191
-7 18630
-6 20397
-1 22462
-2 24095
9 559
7 4387
-8 13607
-1 4081
-6 12947
-5 15257
2 7857
7 17465
8 13688
4 29647
6 30017
-6 9813
-4 15965
8 6688
3 32601
0 13502
4 5144
2 22477
-1 4632
0 15987
-1 26226
6 26506
6 31351
-3 6561
2 6656
2 25934
0 8898
-7 32662
1 9796
9 12630
4 12372
1 14823
-4 25092
0 12922
2 5526
8 3295
7 23016
6 948
9 21561
7 2859
-9 3418
-9 22765
-5 27570
0 16068
-1 11674
3 9994
-1 12278
-8 21275
-6 15135
-2 23350
-6 1142
-3 11403
0 7477
3 11633
5 14173
-1 6395
7 4052
-2 23129
8 30985
5 1489
-6 957
-7 20535
-1 11206
3 26399
2 19675
8 6988
4 2001
-7 15368
7 15064
7 7517
-4 20364
4 23666
0 30717
-6 23676
0 4093
0 31730
0 19022
1 29976
-8 10636
0 3572
-3 4837
0 31559
-5 7421
3 30505
3 10126
-1 22354
3 22699
-6 14390
8 25252
-6 27009
-5 518
7 32153
0 1323
0 296
-8 30542
3 16606
9 18221
-8 29425
-4 1424
2 26370
-8 12888
-5 23147
1 3809
-2 2087
-5 8920
-6 21203
-8 7386
4 19577
6 2674
6 13089
-4 6995
-5 2656
7 20961
0 6486
1 14179
-2 4582
1 29813
-5 20740
0 7831
0 20842
6 12777
5 24862
-5 6769
-7 16261
0 29315
0 19712
1 17443
4 13884
5 14706
-8 21697
7 19596
-3 11111
-5 16739
0 16567
6 5234
0 29281
-5 8036
-1 1099
2 4353
-2 29425
-7 2045
5 17407
4 14468
-7 375
9 4748
-7 2748
0 29537
-4 17497
0 5857
-8 14944
0 19802
5 21167
0 282
8 903
6 25346
9 30766
2 14271
2 28825
3 18301
-4 19026
-5 28705
4 20499
1 24187
1 31439
-1 3311
-1 2586
4 26230
7 4920
5 25369
-3 11580
8 12074
8 1520
-3 232
2 16008
2 14421
2 16465
0 21342
-2 6353
8 13488
1 10779
0 17867
0 26430
4 11564
8 15902
2 14256
-4 1814
-7 16497
-6 10283
6 25815
-7 23753
-2 14995
7 5175
-4 7090
0 26689
-4 278
9 6864
-8 24052
-3 9321
3 3877
-5 30405
7 18286
-7 32254
-2 32269
2 28688
-9 22315
2 28053
-6 22015
6 10247
1 30414
-4 237
0 8966
-1 12994
2 23594
4 24438
-9 2630
7 10703
-4 8482
0 5665
-3 23414
-2 9236
0 11715
5 13929
0 23199
-9 16131
2 20639
-7 5281
3 15894
3 9476
-4 8555
-5 12671
0 7351
-9 15647
0 2523
-7 6889
6 18531
5 28648
6 4285
9 20478
-1 20667
3 11696
-3 17236
-3 29800
0 10781
-9 8680
-1 22775
4 24288
-1 13534
1 16344
9 27881
7 20225
-3 8393
9 5249
9 27257
-7 22097
2 26840
-2 2511
8 1885
-1 16524
9 25394
4 1794
2 26700
-8 1843
-1 8548
9 6750
1 19417
-6 7252
7 7394
-5 6161
9 22423
0 6299
9 27583
7 23140
0 25449
-7 6297
-6 31147
-9 3877
2 24361
7 21843
-2 302
6 15955
-6 11900
4 17422
-2 16675
0 30219
7 5876
3 18776
3 10870
3 18354
-5 7271
7 19290
-4 545
-2 611
7 26510
-6 12124
-6 13156
-7 22170
-2 4832
-8 3736
-7 20035
-2 20258
0 31152
4 11844
8 28229
-8 19259
4 25989
-4 1753
5 1386
3 26128
-2 13753
-1 26280
-6 18284
-9 30551
0 23892
-6 31647
-4 12602
-1 6473
8 21290
0 20568
6 26802
-7 24516
5 20531
-9 2146
1 28829
-7 11454
4 30761
-8 26579
8 27887
3 19948
-2 18536
1 29198
2 29503
0 20403
7 26881
-3 11216
-1 9091
9 12622
-5 15391
8 19584
3 1297
3 26177
-1 18334
-8 27319
2 25554
-4 20733
3 21737
6 28686
-3 10696
8 8915
5 25364
-6 24615
6 28866
0 19742
-9 18233
8 16126
9 18525
7 28587
0 5911
-4 8816
1 27709
-7 28779
2 14823
9 15115
1 26252
9 10332
0 15233
-6 24600
-4 23219
0 20917
8 15792
0 27366
4 29783
9 9040
1 9169
-2 27992
-6 13975
4 17755
7 21682
-2 4017
-7 10115
1 2882
5 11945
-4 8606
-6 5087
7 7894
7 2546
-3 10884
-9 26392
4 2242
9 25933
-5 1291
5 21382
7 16944
-2 6360
-2 20970
-1 18148
-1 15286
5 11049
7 19956
9 26380
-9 1414
-8 9391
-5 22371
-5 4854
5 1237
-3 32074
-4 11875
2 9203
3 25228
8 40
7 15585
-8 27429
4 7981
0 16865
7 29077
1 10049
4 30727
0 1238
1 31309
9 28296
0 2460
-7 10182
7 27004
3 18691
-9 23378
2 31409
-3 4866
8 30461
-4 16472
0 5617
3 11324
-3 8134
6 14811
-6 3989
-1 31566
-2 25765
7 18025
0 11008
-2 8624
3 5150
0 19109
-4 24258
-4 19958
9 31077
0 32556
7 19638
2 24804
-2 1057
-1 4038
-9 2140
-1 20913
-4 17508
7 22480
-5 18296
3 23962
-5 30442
-2 26601
7 22762
1 20138
2 7569
-8 16603
-7 32208
0 26056
-6 24601
-7 28619
4 217
1 13313
4 12572
-4 30628
0 10220
